Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Yehudit Ravitz,◊ê◊®◊ë◊¢ ◊ú◊§◊†◊ï◊™ ◊ë◊ï◊ß◊®,28.0,0.86,0.5,9.0,-12.881,1,0.0435,0.642,0.000473,0.0822,0.972,125.562,188040.0,4,10
Creedence Clearwater Revival,Fortunate Son,82.0,0.64,0.663,,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773.0,4,10
Pratik Tushar,Uncooked Blues,15.0,0.403,0.206,4.0,-17.154,1,0.0522,0.829,0.843,0.136,0.5,90.689,179003.0,4,6
Tigercub,Stop Beating on My Heart (Like a Bass Drum),45.0,0.493,0.711,5.0,-5.994,1,0.0684,0.00496,2.71e-05,0.519,0.313,138.032,225068.0,4,1
John Denver,"Take Me Home, Country Roads",77.0,0.255,0.43,9.0,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,197813.0,4,9
Fruit Bats,Shane,53.0,0.678,0.789,2.0,-10.243,1,0.0277,0.00227,0.575,0.324,0.745,125.941,221326.0,4,6
Enslaved,Loke,30.0,0.189,0.995,11.0,-7.07,1,0.116,2.86e-06,0.88,0.771,0.0336,81.58,261920.0,4,8
Spring King,Us Vs Them,24.0,0.548,0.895,9.0,-4.408,1,0.0356,0.0318,,0.162,0.654,117.083,222111.0,4,10
Iron Maiden,The Wicker Man - 2015 Remaster,57.0,0.424,0.98,4.0,-4.33,0,0.154,0.000855,5.72e-06,0.129,0.296,101.502,275253.0,4,8
Youngest,◊ë◊ê ◊ú◊ö ◊¢◊ú◊ô◊ô,18.0,0.469,0.565,5.0,-7.408,0,0.204,0.196,,0.206,0.352,95.022,193263.0,4,5
Limp Bizkit,Break Stuff,74.0,0.432,0.884,8.0,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,166707.0,4,10
Quicksand,Inversion,41.0,0.424,0.944,11.0,-2.552,0,0.0391,9.04e-06,1.09e-05,0.357,0.389,158.089,158333.0,4,6
Jonny Lang,Before You Hit The Ground,41.0,0.724,0.876,11.0,-5.854,0,0.0873,0.16,0.00278,0.116,0.812,92.169,234133.0,4,10
"Lata Mangeshkar, Babla Mehta",Tere Mere Honthon Pe,30.0,0.262,0.419,6.0,-17.099,1,0.041,0.807,1.08e-05,0.0932,0.356,73.918,5.553333333,3,3
Broken Bells,After the Disco,53.0,0.729,0.74,9.0,-5.444,1,0.0258,0.00226,0.0305,0.13,0.966,115.984,219293.0,4,6
Dudu Aharon,◊û◊¢◊ú◊ô◊ï◊™,23.0,0.695,0.727,,-6.589,0,0.0405,0.0573,,0.19,0.537,101.992,197667.0,4,9
Fates Warning,Scars,25.0,0.547,0.922,4.0,-6.352,1,0.0986,0.00211,0.0275,0.112,0.31,121.978,304932.0,4,8
JP Cooper,Holy Water,25.0,0.58,0.616,9.0,-5.928,0,0.0406,0.184,,0.148,0.528,78.943,219438.0,4,9
Bubba Sparxxx,Ugly,14.0,0.76,0.831,6.0,-5.743,1,0.164,0.265,8.12e-05,0.201,0.712,90.81,265227.0,4,5
Agnes Obel,September Song,62.0,0.23,0.0971,,-27.043,1,0.0415,0.934,0.764,0.106,0.133,134.926,204332.0,1,6
Allah-Las,Catamaran,52.0,0.564,0.846,4.0,-5.897,0,0.0437,0.00692,0.00175,0.0452,0.696,122.035,212986.0,4,9
Black Sabbath,The Wizard,53.0,0.523,0.706,2.0,-11.521,1,0.0935,0.0307,0.000274,0.337,0.407,99.684,260640.0,4,8
Rich The Kid,Richard Mille Patek,64.0,0.722,0.635,,-4.59,0,0.363,0.219,,0.272,0.557,68.461,153005.0,4,5
Gene Loves Jezebel,Break the Chain,42.0,0.664,0.815,9.0,-6.839,0,0.0306,0.0025,5.16e-05,0.604,0.594,118.451,288400.0,4,10
"Timeflies, Kira Kosarin",Raincoat - Acoustic,52.0,0.709,0.285,10.0,-7.503,1,0.0795,0.618,,0.154,0.438,76.884,3.59421667,4,0
Golden Earring,Twilight Zone,52.0,0.656,0.756,11.0,-6.516,0,0.0399,0.00785,3.49e-05,0.0927,0.542,118.56,478107.0,4,10
Survivor,High on You,55.0,0.659,0.714,7.0,-9.811,1,0.0321,0.398,1.15e-05,0.174,0.871,125.152,248200.0,4,10
Morrissey,Back on the Chain Gang,53.0,0.49,0.841,9.0,-7.452,1,0.0342,8.01e-05,0.129,0.119,0.718,152.087,231000.0,4,6
"Igor Stravinsky, Concertgebouworkest, Riccardo Chailly",Apollon musagète (1947 Version): 8. Pas de deux (Apollo And Terpsichore),21.0,0.0993,0.0154,,-34.797,1,0.0375,0.942,0.47,0.064,0.0764,88.646,3.916666667,4,7
Cautious Clay,Cold War,68.0,0.654,0.47,1.0,-10.383,0,0.0586,0.274,0.249,0.103,0.462,77.083,202597.0,4,6
Dudu Tassa,◊ú◊©◊ô◊ù ◊™'◊®◊ê◊©,22.0,0.488,0.874,6.0,-4.059,0,0.0353,5.89e-05,0.0053,0.102,0.525,99.945,269165.0,4,10
Eagles Of Death Metal,I Only Want You,45.0,0.547,0.945,9.0,-3.207,1,0.118,0.594,0.00141,0.102,0.902,173.862,168920.0,4,9
Lata Mangeshkar,Bhai Battur,12.0,0.48,0.467,6.0,-10.235,1,0.0545,0.969,0.00376,0.0843,0.735,131.746,4.707783333,4,3
Moshe Peretz,◊ê◊ô◊ö ◊©◊ê◊™ ◊ô◊§◊î,18.0,0.363,0.548,,-5.046,1,0.0279,0.493,,0.318,0.374,159.812,254133.0,4,9
Lion's Share,Aim Higher,31.0,0.573,0.981,4.0,-3.479,1,0.0426,0.000401,0.0055,0.403,0.641,131.037,279031.0,4,8
Loretta Lynn,Coal Miner's Daughter,,0.6,0.517,9.0,-9.567,1,0.032,0.791,0.0187,0.108,0.645,136.521,3.027766667,4,4
Martin Luke Brown,Opalite,41.0,0.728,0.664,2.0,-5.543,1,0.0438,0.00973,0.000515,0.37,0.105,104.021,211749.0,4,10
Tokyo Ska Paradise Orchestra,Â§öÈáçÈú≤ÂÖâ feat.Â∑ù‰∏äÊ¥ãÂπ≥,45.0,0.382,0.944,7.0,-2.311,0,0.1,0.0705,,0.323,0.672,97.037,193360.0,4,10
Deaf Wish,FFS,23.0,0.332,0.943,9.0,-7.401,1,0.0794,0.00198,0.561,0.381,0.125,78.566,133479.0,4,1
Jack Johnson,My Mind Is For Sale,63.0,0.83,0.682,2.0,-7.16,1,0.134,0.676,0.000367,0.123,0.762,97.849,239840.0,4,9
prettyboys,WINTER HOOKUP,36.0,0.786,0.46,1.0,-8.028,1,0.241,0.438,2.35e-05,0.114,0.413,139.981,174962.0,4,5
"Christone ""Kingfish"" Ingram",Rock & Roll,51.0,0.532,0.473,2.0,-7.179,1,0.0295,0.647,8.03e-06,0.0753,0.345,145.072,290483.0,3,10
Sylvan Esso,Radio,55.0,0.557,0.895,,-6.547,1,0.0329,0.642,0.0186,0.254,0.591,119.993,212333.0,4,6
Lala Lala,Destroyer,47.0,0.604,0.594,10.0,-6.706,1,0.0259,0.757,0.635,0.148,0.333,109.931,192550.0,4,1
Sullivan King,LOUD (feat. Jason Aalon from FEVER 333),,0.401,0.969,11.0,-3.636,1,0.157,0.000246,7.84e-06,0.326,0.273,144.706,208000.0,4,8
Dorothy,Down To The Bottom,55.0,0.613,0.608,11.0,-5.429,0,0.0263,0.0147,,0.245,0.523,87.467,152468.0,4,10
Winnetka Bowling League,barcelona,57.0,0.549,0.86,10.0,-4.147,1,0.0498,0.017,4.26e-06,0.206,0.512,83.971,225413.0,4,9
"Dublin, Texas",RF Shannon,43.0,0.513,0.524,8.0,-8.608,0,0.0273,0.0127,0.184,0.0927,0.553,78.381,4.488116667,4,0
Nirvana,Love Buzz,64.0,0.479,0.865,5.0,-8.281,0,0.0339,3.1e-05,0.228,0.182,0.77,137.902,215203.0,4,1
Kojey Radical,No Gangster,40.0,0.552,0.627,1.0,-8.455,1,0.344,0.448,0.00711,0.134,0.643,123.59,213947.0,5,5
Coheed and Cambria,Jessie's Girl 2 - Director's Cut,31.0,0.492,0.942,7.0,-4.201,1,0.0815,0.00518,,0.0875,0.662,155.266,231578.0,4,10
Austin Meade,Happier Alone,44.0,0.532,0.833,8.0,-6.556,1,0.0357,0.00195,,0.0764,0.429,99.989,224028.0,4,8
Outline In Color,Why Should You Survive,46.0,0.472,0.932,1.0,-3.894,1,0.246,0.00064,,0.133,0.159,131.948,241800.0,4,8
Mukesh,Kahin Door Jab Din Dhal Jaye,36.0,0.524,0.423,5.0,-7.392,1,0.0348,0.852,1.04e-06,0.301,0.484,91.372,5.623116667,4,3
Hannah Jadagu,Sundown,31.0,0.55,0.716,,-5.084,1,0.0397,0.299,0.0396,0.141,0.202,110.027,216367.0,4,6
Lucia & The Best Boys,Blueheart,29.0,0.348,0.726,,-4.73,1,0.0449,0.000363,0.000142,0.383,0.661,182.587,169164.0,4,10
◊©◊ù ◊ò◊ï◊ë ◊î◊ê◊ë◊ô,◊î◊ê◊ñ◊®◊ó ◊î◊ß◊ò◊ü,42.0,0.668,0.632,1.0,-6.611,1,0.338,0.228,2.91e-06,0.123,0.363,120.156,202372.0,4,5
In Hearts Wake,Worldwide Suicide,42.0,0.391,0.997,1.0,-2.383,1,0.244,0.000329,0.0074,0.288,0.156,86.44,116500.0,4,8
Mammoth WVH,Distance,50.0,0.404,0.962,2.0,-5.106,1,0.387,0.000495,0.654,0.384,0.418,177.045,252417.0,4,10
Lily Rose,Villain,70.0,0.632,0.642,,-7.957,1,0.0646,0.313,,0.092,0.175,107.377,2.9348,4,4
ZZ Top,La Grange - 2005 Remaster,76.0,0.545,0.64,4.0,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480.0,4,10
Kid Rock,Bawitdaba,,0.556,0.997,6.0,-1.524,0,0.202,0.0107,0.0355,0.204,0.662,181.005,229107.0,4,8
Skylar Spence,Kratos in Love,38.0,0.718,0.776,7.0,-7.046,0,0.0329,0.00338,0.369,0.239,0.677,127.006,170635.0,4,6
The New Mastersounds,Take What You Need,35.0,0.641,0.993,9.0,-3.262,1,0.0504,0.302,0.744,0.41,0.505,105.966,191160.0,4,10
Peled,◊ú◊ê ◊®◊ï◊¶◊î ◊ú◊ô◊©◊ï◊ü,20.0,0.804,0.582,5.0,-10.401,1,0.266,0.439,,0.11,0.461,120.1,281992.0,4,5
ilyTOMMY,10 outta 10,41.0,0.865,0.286,7.0,-11.117,1,0.34,0.207,,0.108,0.201,79.935,132000.0,4,5
Richard D. James,#20 (Lichen),33.0,0.162,0.112,,-17.167,1,0.0379,0.954,0.915,0.116,0.0504,70.04,237832.0,3,1
Moses Boyd,2 Far Gone - Vocal Mix,41.0,0.415,0.79,1.0,-7.349,1,0.0515,0.0192,0.0319,0.132,0.376,123.912,309625.0,4,1
Cage The Elephant,Cigarette Daydreams,78.0,0.636,0.676,2.0,-3.442,1,0.0263,0.0807,,0.0831,0.273,113.98,208760.0,4,6
Mike Zito,Death Row,39.0,0.714,0.596,2.0,-8.288,1,0.0288,0.511,0.00718,0.0593,0.665,141.496,247907.0,4,2
Gary Clark Jr.,This Land,47.0,0.506,0.921,10.0,-2.967,0,0.0606,0.019,8.09e-05,0.0677,0.279,82.033,341667.0,4,10
Held Down,Laura Marling,54.0,0.476,0.493,7.0,-7.87,1,0.0346,0.178,2.2e-06,0.353,0.412,79.712,4.132,4,0
VAPERROR,Thickedge,35.0,0.25,0.751,8.0,-9.246,1,0.0554,0.451,0.863,0.11,0.295,180.675,196375.0,5,6
KennyHoopla,lost cause// (with grandson),54.0,0.698,0.675,4.0,-4.941,0,0.0412,0.000348,0.251,0.0916,0.484,116.02,171285.0,4,10
DƒÅM-FunK,Night Kruise,37.0,0.792,0.41,11.0,-7.344,1,0.058,0.00226,0.777,0.0898,0.581,103.993,257455.0,4,6
That Spell,Andrea von Kampen,35.0,0.836,0.335,5.0,-9.608,1,0.0325,0.749,0.0831,0.0884,0.479,128.939,3.391783333,4,0
Major Murphy,In the Meantime,28.0,0.572,0.931,4.0,-5.403,1,0.0411,0.00103,0.000897,0.106,0.59,121.974,226583.0,4,6
Billy Adams,Rock Pretty Mama,28.0,0.454,0.683,10.0,-11.151,0,0.0904,0.691,2.45e-06,0.206,0.59,167.226,131400.0,4,10
Marika Hackman,Realiti,32.0,0.401,0.295,5.0,-10.624,0,0.0305,0.873,0.00096,0.0978,0.166,99.622,186827.0,4,6
Rannar Sillard,Distant Glow,53.0,0.199,0.045,,-22.016,1,0.0385,0.913,0.93,0.11,0.0513,74.677,2.1886,4,7
Eva Under Fire,Heroin(e),44.0,0.524,0.896,,-2.425,0,0.0488,0.00938,,0.104,0.376,91.537,199190.0,4,10
Candlebox,Far Behind,66.0,0.552,0.645,7.0,-6.595,1,0.0268,0.00187,1.38e-06,0.0424,0.588,89.518,299733.0,4,10
Ghum,Saturn,37.0,0.343,0.701,10.0,-5.365,1,0.0297,0.00225,0.00516,0.115,0.416,91.601,232485.0,4,10
Lil Wayne,6 Foot 7 Foot,64.0,0.364,0.752,2.0,-5.429,1,0.304,0.0007,,0.318,0.606,79.119,248587.0,4,5
Carlie Hanson,Gucci Knife (feat. MASN),20.0,0.68,0.623,11.0,-6.657,0,0.0464,0.055,,0.596,0.379,145.002,151642.0,4,9
AJR,Weak,68.0,0.673,0.637,5.0,-4.518,1,0.0429,0.137,,0.184,0.678,123.98,201160.0,4,9
Red Garland,Ralph J. Gleason Blues,33.0,0.497,0.315,10.0,-19.926,1,0.0426,0.968,0.875,0.106,0.822,92.858,400373.0,4,2
Reflections,Cicada,42.0,0.621,0.963,1.0,-4.547,1,0.133,0.00388,9.39e-05,0.444,0.101,95.041,181823.0,4,8
Backstreet Boys,Unsuspecting Sunday Afternoon,31.0,0.423,0.425,,-5.018,1,0.028,0.208,,0.111,0.228,73.755,3.368216667,4,9
The Jungle Giants,Treat You Right,56.0,0.664,0.759,9.0,-4.926,0,0.0428,0.0169,0.0025,0.179,0.771,160.023,221466.0,4,6
Meaningful Stone,Footsteps,19.0,0.666,0.801,9.0,-6.342,1,0.0342,0.292,1.83e-06,0.0893,0.6,119.986,245199.0,4,10
EKKSTACY,i want to be by your side (feat. herhexx),54.0,0.75,0.593,9.0,-12.074,1,0.0331,0.0792,0.785,0.283,0.846,119.985,157523.0,4,9
Skegss,Up In The Clouds,51.0,0.553,0.64,,-9.246,1,0.0288,0.0109,,0.205,0.478,104.989,149623.0,4,1
The Verve,Lucky Man,65.0,0.407,0.663,2.0,-7.591,1,0.0305,0.255,0.000166,0.0913,0.211,75.989,293587.0,4,6
Lost Symphony,Conflagration,25.0,0.143,0.954,4.0,-5.157,0,0.172,0.000102,0.923,0.393,0.142,94.851,281660.0,3,8
Genesis,Follow You Follow Me - Remastered 2007,63.0,0.531,0.747,7.0,-9.368,1,0.0344,0.146,0.0722,0.07,0.761,93.559,240991.0,4,10
The Spencer Davis Group,I'm A Man,2.0,0.281,0.614,,-9.066,1,0.0551,0.088,,0.252,0.498,134.665,522267.0,4,10
Ray Charles,Georgia on My Mind - Original Master Recording,60.0,0.138,0.399,7.0,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,217415.0,4,5
Foreign Air,Monsters,50.0,0.552,0.673,9.0,-4.9,0,0.0298,0.00553,,0.114,0.174,89.993,224053.0,4,10
Polyphia,LIT,46.0,0.54,0.789,1.0,-5.27,0,0.0382,0.00414,0.207,0.124,0.54,99.022,252464.0,4,8
Donny Hathaway,Little Ghetto Boy,41.0,0.535,0.509,6.0,-7.519,0,0.0562,0.729,3.59e-06,0.601,0.594,92.249,232093.0,4,5
Echo & the Bunnymen,The Cutter,51.0,0.471,0.955,7.0,-5.219,1,0.121,0.00485,1.44e-06,0.162,0.35,139.266,232746.0,4,1
We Three Trio,Skating,49.0,0.526,0.341,10.0,-17.948,0,0.036,0.886,0.921,0.0953,0.169,123.366,3.283333333,3,7
Rostam,These Kids We Knew,46.0,0.675,0.649,4.0,-8.937,1,0.0562,0.334,0.0655,0.11,0.496,148.0,148267.0,4,6
Wale,JUNE 5th / QueenZnGodZ,30.0,0.701,0.839,1.0,-3.583,0,0.259,0.575,,0.0943,0.527,86.504,309615.0,4,5
Trash Boat,Silence Is Golden,55.0,0.463,0.908,10.0,-4.373,0,0.0756,0.00893,2.82e-06,0.366,0.459,99.993,204745.0,4,6
Freak Kitchen,Raw,40.0,0.536,0.796,3.0,-9.392,0,0.034,0.00297,0.12,0.0559,0.696,95.902,258640.0,4,8
Thomas Rhett,Unforgettable,69.0,0.661,0.75,7.0,-5.497,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,2.618,4,4
DUSTY LOCANE,MOVE DOLEY,61.0,0.792,0.676,2.0,-8.825,1,0.344,0.208,1.65e-06,0.103,0.68,143.877,200078.0,4,5
The Order,Supreme Hypocrisy,27.0,0.548,0.967,7.0,-4.182,1,0.0381,0.00012,0.0744,0.0636,0.365,102.968,235733.0,4,8
Paris Green,Redrum,23.0,0.616,0.784,10.0,-8.2,0,0.0366,6.57e-05,0.902,0.0717,0.368,121.999,352636.0,4,1
George Clanton,Driving in My Car,43.0,0.597,0.678,1.0,-6.391,1,0.0261,0.0278,0.882,0.117,0.646,97.003,217940.0,4,9
Surfing,Lifetime,40.0,0.523,0.923,5.0,-7.203,0,0.0329,0.00152,0.878,0.353,0.796,94.012,203387.0,4,6
"Hemant Kumar, Geeta Dutt",Jai Jagdish Hare,11.0,0.312,0.347,1.0,-9.723,1,0.0297,0.971,0.172,0.422,0.308,90.522,3.186883333,4,3
Blxst,Fck Boys,70.0,0.63,0.491,4.0,-5.549,0,0.41,0.766,,0.101,0.497,98.368,163200.0,4,5
"Leonard Cohen, Sheku Kanneh-Mason, Didier Osindero, Alinka Rowe, Yong Jun Lee",Hallelujah (Arr. Hodge for Cello and Strings),50.0,0.159,0.0321,9.0,-22.421,0,0.0565,0.977,0.696,0.0963,0.142,180.407,3.442,3,7
Weezer,Why Bother?,47.0,0.55,0.965,3.0,-3.819,1,0.0679,0.0309,,0.11,0.601,140.344,128400.0,4,10
Elm Tree Circle,Feel the Burn,18.0,0.371,0.899,6.0,-4.056,1,0.0657,2.99e-05,0.000158,0.0367,0.524,139.922,172458.0,4,10
Roddy Ricch,Roll Dice,57.0,0.876,0.443,2.0,-8.995,1,0.178,0.279,,0.105,0.496,153.029,170995.0,3,5
Joanne Shaw Taylor,Here Comes the Flood,31.0,0.233,0.951,10.0,-4.393,0,0.0843,0.000299,0.579,0.351,0.655,182.737,315178.0,4,2
8485,southview,44.0,0.424,0.691,9.0,-5.823,1,0.0558,0.0785,,0.0818,0.27,143.97,170031.0,4,1
Roachford,Cuddly Toy,49.0,0.664,0.837,10.0,-9.027,0,0.0497,0.107,,0.293,0.732,125.628,3.8,4,10
Omer Adam,Names Mimeh,31.0,0.552,0.875,,-4.192,0,0.077,0.238,,0.11,0.635,164.0,233053.0,4,9
Nick Mulvey,Moment Of Surrender,54.0,0.61,0.662,2.0,-9.182,1,0.0402,0.57,0.00846,0.13,0.527,104.122,299180.0,4,1
Britney Spears,...Baby One More Time,78.0,0.759,0.699,,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,3.517783333,4,9
Verzache,The Loser,73.0,0.748,0.297,1.0,-10.613,1,0.132,0.485,0.27,0.138,0.114,123.983,131587.0,4,6
Gugun Power Trio,Vixen Eyes,35.0,0.687,0.853,6.0,-7.761,1,0.0567,0.0801,0.00171,0.109,0.918,110.051,256680.0,4,2
The Sounds,No One Sleeps When I‚Äôm Awake,42.0,0.527,0.851,6.0,-4.117,1,0.0438,0.00156,1.52e-05,0.147,0.519,131.968,264307.0,4,1
Phat Phunktion,Well Run Dry,40.0,0.71,0.914,9.0,-3.592,1,0.0749,0.0602,0.00377,0.165,0.742,125.039,244840.0,4,2
Wallie the Sensei,03 Flow,,0.775,0.38,1.0,-12.778,1,0.183,0.65,,0.0654,0.507,92.008,208500.0,4,5
Akiva,◊ê◊ú ◊™◊¢◊ñ◊ë◊ô ◊ô◊ì◊ô◊ô◊ù,50.0,0.598,0.455,1.0,-7.951,0,0.0475,0.737,6.74e-06,0.224,0.257,88.078,208500.0,4,9
"Johnny Duncan, Janie Fricke",Stranger,42.0,0.57,0.555,5.0,-9.147,1,0.0273,0.121,,0.304,0.901,117.646,3.163116667,4,4
Foushe√©,Deep End,79.0,0.711,0.592,4.0,-7.136,0,0.23,0.758,,0.156,0.535,124.749,141224.0,4,10
Slikback,Quoios,16.0,0.593,0.835,,-9.882,0,0.0781,0.0297,0.844,0.127,0.0616,130.044,218233.0,4,6
The Goo Goo Dolls,Come to Me,50.0,0.589,0.669,,-4.835,1,0.0253,0.0505,,0.131,0.421,92.06,225333.0,4,10
The Promise Ring,Red & Blue Jeans,39.0,0.527,0.653,,-7.24,1,0.0317,0.000629,0.685,0.118,0.811,76.257,175107.0,4,10
Tkay Maidza,Where Is My Mind?,59.0,0.544,0.507,1.0,-4.963,0,0.0314,0.0056,0.000192,0.288,0.151,148.002,177261.0,4,6
Elina Filice,Thinking of You,43.0,0.674,0.597,2.0,-9.791,1,0.236,0.587,3.93e-06,0.0935,0.347,99.854,260750.0,4,1
Demob Happy,Mother Machine,35.0,0.298,0.677,6.0,-8.85,1,0.0888,0.00416,0.00297,0.088,0.344,129.397,216239.0,4,10
The Moody Blues,Nights In White Satin - Single Edit,1.0,0.182,0.451,4.0,-7.841,0,0.0303,0.249,0.203,0.186,0.205,158.623,265400.0,3,10
Twin Wild,Willow Tree,47.0,0.457,0.887,8.0,-4.138,1,0.0533,0.000186,,0.11,0.221,95.015,199413.0,4,1
Movulango,Leave,31.0,0.744,0.481,2.0,-8.819,1,0.0393,0.0121,0.0498,0.0722,0.702,112.008,171013.0,4,6
J.I the Prince of N.Y,R&B Shit (feat. A Boogie Wit da Hoodie),65.0,0.542,0.458,6.0,-10.885,0,0.386,0.493,,0.0875,0.496,99.218,212695.0,4,5
Kansas,Carry on Wayward Son,76.0,0.482,0.786,7.0,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,323000.0,4,10
Lofofora,La surface,11.0,0.529,0.908,4.0,-5.727,1,0.0732,0.000285,0.000445,0.113,0.582,146.055,255107.0,4,10
Carlton Maison Quartet,Time After Time,58.0,0.477,0.14,,-13.756,1,0.0385,0.975,0.0893,0.0993,0.28,78.842,3.614233333,4,7
MICHELLE,SUNRISE,53.0,0.787,0.422,,-8.552,1,0.0569,0.287,0.111,0.3,0.607,87.018,176667.0,4,6
Deftones,Do You Believe,40.0,0.258,0.918,,-7.533,1,0.0657,1.53e-05,0.0567,0.342,0.528,182.868,208493.0,4,8
The Smashing Pumpkins,Bullet With Butterfly Wings,73.0,0.404,0.72,10.0,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467.0,4,10
The Wrecks,Fvck Somebody,54.0,0.533,0.661,6.0,-5.196,0,0.0418,0.0239,2.45e-06,0.347,0.603,142.079,181013.0,4,1
Trinidad Cardona,Dinero,88.0,0.708,0.782,2.0,-4.687,1,0.0674,0.00772,,0.107,0.484,119.997,2.68133333,4,9
Leon Bridges,Motorbike,68.0,0.721,0.485,5.0,-11.213,0,0.0681,0.158,0.275,0.107,0.614,150.027,188617.0,4,9
Amaarae,JUMPING SHIP,52.0,0.758,0.601,4.0,-7.042,0,0.141,0.151,0.00809,0.169,0.575,126.03,201637.0,4,9
"Lata Mangeshkar, Mukesh",Dil Ki Nazar Se,26.0,0.56,0.224,5.0,-15.601,0,0.0368,0.879,3.24e-05,0.384,0.775,82.944,4.671116667,3,3
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),78.0,0.661,0.723,5.0,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805.0,4,9
Shekel,◊ô◊ú◊ì ◊¢◊ô◊ß◊©,25.0,0.833,0.727,2.0,-5.387,1,0.198,0.0485,,0.12,0.414,104.985,188047.0,4,5
Emeli Sand√©,Next To Me,61.0,0.664,0.799,7.0,-5.121,0,0.0368,0.0932,0.000108,0.105,0.35,94.991,196747.0,4,9
War & Pierce,Amen,50.0,0.785,0.43,4.0,-9.453,0,0.0653,0.316,0.00159,0.0829,0.491,85.99,247478.0,4,10
Ash,Shining Light,50.0,0.482,0.934,2.0,-3.486,1,0.0452,1.55e-05,0.00204,0.108,0.526,106.616,309013.0,4,10
Gong,My Sawtooth Wake,23.0,0.546,0.784,11.0,-8.566,1,0.043,0.00175,0.146,0.0912,0.256,120.057,795013.0,4,10
THE DRIVER ERA,Preacher Man,55.0,0.689,0.947,1.0,-3.926,1,0.0897,0.00209,,0.228,0.393,119.993,219390.0,4,10
E the profit,Bluegrass,32.0,0.781,0.479,,-8.385,1,0.411,0.0249,,0.168,0.72,149.904,117200.0,4,9
Local Boy,Horizon,39.0,0.722,0.462,1.0,-11.224,0,0.141,0.143,2.44e-06,0.528,0.743,158.074,224810.0,4,6
Shrezzers,Demure,44.0,0.365,0.94,1.0,-3.325,0,0.151,0.000727,0.000226,0.093,0.318,199.918,252300.0,4,10
Foxy Brown,Oh Yeah,52.0,0.618,0.691,10.0,-7.041,0,0.308,0.00452,3.17e-06,0.0614,0.762,170.446,260827.0,4,5
Britney Spears,Gasoline,42.0,0.757,0.733,7.0,-4.722,1,0.0511,0.178,4.47e-06,0.101,0.552,119.984,3.14045,4,9
France Gall,Laisse tomber les filles,39.0,0.663,0.699,2.0,-9.659,1,0.0313,0.485,,0.0994,0.965,132.817,124973.0,4,6
Faye Webster,Better Distractions,52.0,0.707,0.513,6.0,-9.54,1,0.0242,0.063,0.0222,0.0916,0.574,96.345,249985.0,4,6
my bloody valentine,only shallow,59.0,0.14,0.641,,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,256573.0,4,6
COIN,Sprite,57.0,0.563,0.691,2.0,-8.006,1,0.0357,0.0129,0.000404,0.0744,0.425,157.034,190813.0,4,6
Joshua Burnside,Under the Concrete,46.0,0.431,0.392,6.0,-9.994,0,0.0585,0.705,7.33e-06,0.174,0.3,98.667,205876.0,3,1
patchymate,Mirages,42.0,0.566,0.612,6.0,-4.672,1,0.106,0.0676,,0.066,0.732,118.402,128607.0,4,9
Mirrors,Damien,37.0,0.447,0.979,5.0,-2.962,0,0.198,0.00537,8.55e-06,0.17,0.0833,111.998,259286.0,4,8
M|O|O|N,Dust,58.0,0.418,0.66,2.0,-7.959,0,0.0447,0.0106,0.87,0.0727,0.245,100.007,302400.0,4,6
Wolfheart,The Hammer,19.0,0.444,0.946,5.0,-6.98,1,0.0804,7.72e-05,0.793,0.108,0.0453,104.978,368696.0,4,8
Palaye Royale,Lonely,68.0,0.622,0.619,2.0,-6.4,0,0.0561,0.0624,,0.081,0.483,147.965,186250.0,4,10
Rosie Flores,If There Was a Way,31.0,0.35,0.496,7.0,-6.232,0,0.0307,0.382,0.000244,0.099,0.491,178.57,265867.0,3,2
Villagers,A Trick of the Light,61.0,0.563,0.606,11.0,-8.159,1,0.0267,0.513,0.0391,0.132,0.425,150.0,248253.0,4,1
Preston Shannon,Baby I Will,10.0,0.744,0.496,7.0,-10.81,0,0.0265,0.438,2.22e-05,0.0375,0.961,87.95,269000.0,4,2
Lemon [Feat. Sharon Van Etten],"Local Natives, Sharon Van Etten",55.0,0.614,0.275,3.0,-8.744,1,0.027,0.904,2.26e-05,0.118,0.303,130.875,3.298,3,0
Blue √ñyster Cult,Veteran of the Psychic Wars,49.0,0.453,0.776,,-9.937,1,0.0432,0.162,3.81e-05,0.349,0.568,85.992,289587.0,4,10
Bleed From Within,The End of All We Know,53.0,0.311,0.959,6.0,-5.104,0,0.107,0.000505,0.00012,0.328,0.336,149.406,251512.0,3,8
